date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:28	4547/4547	---M--	200	added ('OK')	image/png	etag:%2211c3-63606c53-f9726b53771abd15;;;%22	https://abeso.org.br/wp-content/uploads/2020/02/logo.png	C:/My%20Web%20Sites/imc2/abeso.org.br/wp-content/uploads/2020/02/logo.png	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:28	11117/11117	---M-Z	200	added ('OK')	application/x-javascript	etag:%222b6d-655d0ddc-aa550cd55f2b3147;gz%22	https://abeso.org.br/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=5.8.3	C:/My%20Web%20Sites/imc2/abeso.org.br/wp-content/plugins/contact-form-7/includes/swv/js/indexc8d8.js	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:29	13182/13182	---M-Z	200	added ('OK')	application/x-javascript	etag:%22337e-655d0ddc-8d271342e16853aa;gz%22	https://abeso.org.br/wp-content/plugins/contact-form-7/includes/js/index.js?ver=5.8.3	C:/My%20Web%20Sites/imc2/abeso.org.br/wp-content/plugins/contact-form-7/includes/js/indexc8d8.js	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:29	264632/264632	---M-Z	200	added ('OK')	application/x-javascript	etag:%22409b8-6568c4c1-f9913bb67922750;gz%22	https://abeso.org.br/wp-content/themes/abeso/dist/js/vendor.js?ver=4.9.6	C:/My%20Web%20Sites/imc2/abeso.org.br/wp-content/themes/abeso/dist/js/vendor1845.js	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:30	102244/102244	---M-Z	200	added ('OK')	application/x-javascript	etag:%2218f64-6568c4c1-83dcf090414cfbaa;gz%22	https://abeso.org.br/wp-content/themes/abeso/dist/js/main.js?v1&ver=4.9.6	C:/My%20Web%20Sites/imc2/abeso.org.br/wp-content/themes/abeso/dist/js/maind5c6.js	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:30	73164/73164	---M-Z	200	added ('OK')	application/x-javascript	etag:%2211dcc-61bce609-9c78361147f020b3;gz%22	https://abeso.org.br/wp-content/themes/abeso/scripts/select2/js/select2.min.js?ver=6.4.1	C:/My%20Web%20Sites/imc2/abeso.org.br/wp-content/themes/abeso/scripts/select2/js/select2.minaec2.js	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:31	804/804	---M-Z	200	added ('OK')	application/x-javascript	etag:%22324-61bce609-6f4828ac826e9ee5;gz%22	https://abeso.org.br/wp-content/themes/abeso/scripts/busca-campos.js?ver=6.4.1	C:/My%20Web%20Sites/imc2/abeso.org.br/wp-content/themes/abeso/scripts/busca-camposaec2.js	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:31	430/430	---M-Z	200	added ('OK')	application/x-javascript	etag:%221ae-655d0ddf-cecbd375ce230b81;gz%22	https://abeso.org.br/wp-content/plugins/wp-charts-and-graphs/assets/js/pantherius_wp_charts_init.js?ver=1.2.1	C:/My%20Web%20Sites/imc2/abeso.org.br/wp-content/plugins/wp-charts-and-graphs/assets/js/pantherius_wp_charts_init1576.js	(from https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/)
18:39:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20Jan%202024%2021:39:32%20GMT	https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/options.time.format%20is%20deprecated%20and%20replaced%20by%20options.time.parser.%20See%20http://nnnick.github.io/Chart.js/docs-v2/	C:/My%20Web%20Sites/imc2/abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/options.time.format%20is%20deprecated%20and%20replaced%20by%20options.time.parser.%20See%20http_/nnnick.github.io/Chart.js/docs-v2/index.html	(from https://abeso.org.br/wp-content/plugins/wp-charts-and-graphs/assets/js/Chart.min.js?ver=2.3.0)
18:39:33	47513/47513	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Jan%202024%2021:39:32%20GMT	https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/t	C:/My%20Web%20Sites/imc2/abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/t	(from https://abeso.org.br/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=5.8.3)
18:39:34	47513/47513	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Jan%202024%2021:39:34%20GMT	https://abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/i	C:/My%20Web%20Sites/imc2/abeso.org.br/obesidade-e-sindrome-metabolica/calculadora-imc/i	(from https://abeso.org.br/wp-content/themes/abeso/dist/js/main.js?v1&ver=4.9.6)
